societe|client_fac|client_liv|num_expedition|num_cde|nom_fichier|date
|20493|20493|80270168||BL_20493_20493_80270168_20250722_171424.pdf|
|20493|20493|80270687||BL_20493_20493_80270687_20250725_121143.pdf|
|20493|20493|80273326||BL_20493_20493_80273326_20250902_170759.pdf|
|20493|20493|80274782||BL_20493_20493_80274782_20250912_154921.pdf|
|20493|20493|80277556||BL_20493_20493_80277556_20250930_164147.pdf|
|20493|20493|80278261||BL_20493_20493_80278261_20251007_154728.pdf|
|20493|20493|80280804||BL_20493_20493_80280804_20251022_154744.pdf|
|20495|20495|80277805||BL_20495_20495_80277805_20251002_155616.pdf|
|20496|20496|80269697||BL_20496_20496_80269697_20250718_154005.pdf|
|20497|20497|80270791||BL_20497_20497_80270791_20250728_164824.pdf|
|20497|20497|80270966||BL_20497_20497_80270966_20250728_170337.pdf|
|20497|20497|80271854||BL_20497_20497_80271854_20250731_144203.pdf|
|20497|20497|80277965||BL_20497_20497_80277965_20251003_162352.pdf|
|20501|20501|80270313||BL_20501_20501_80270313_20250723_162240.pdf|
|20501|20501|80271625||BL_20501_20501_80271625_20250825_164009.pdf|
|20501|20501|80281229||BL_20501_20501_80281229_20251023_164738.pdf|
|20501|20501|80282101||BL_20501_20501_80282101_20251030_170746.pdf|
|20502|20502|80269772||BL_20502_20502_80269772_20250721_160315.pdf|
|20502|20502|80271736||BL_20502_20502_80271736_20250825_155633.pdf|
|20502|20502|80275923||BL_20502_20502_80275923_20250923_162347.pdf|
|20502|20502|80283018||BL_20502_20502_80283018_20251105_160430.pdf|
|20503|20503|80276829||BL_20503_20503_80276829_20250929_172201.pdf|
|20504|20504|80269702||BL_20504_20504_80269702_20250718_151710.pdf|
|20504|20504|80274844||BL_20504_20504_80274844_20250915_164629.pdf|
|20504|20504|80276909||BL_20504_20504_80276909_20250929_172207.pdf|
|20504|20504|80281245||BL_20504_20504_80281245_20251023_163622.pdf|
|20508|20508|80268648||BL_20508_20508_80268648_20250709_164651.pdf|
|20508|20508|80278017||BL_20508_20508_80278017_20251003_162717.pdf|
|20508|20508|80279519||BL_20508_20508_80279519_20251015_160243.pdf|
|20508|20508|80280072||BL_20508_20508_80280072_20251017_172122.pdf|
|20509|20509|80269804||BL_20509_20509_80269804_20250721_153134.pdf|
|20509|20509|80271858||BL_20509_20509_80271858_20250801_150205.pdf|
|20509|20509|80272356||BL_20509_20509_80272356_20250807_154830.pdf|
|20509|20509|80273298||BL_20509_20509_80273298_20250903_155502.pdf|
|20509|20509|80273427||BL_20509_20509_80273427_20250903_151622.pdf|
|20509|20509|80275738||BL_20509_20509_80275738_20250922_162057.pdf|
|20509|20509|80277803||BL_20509_20509_80277803_20251002_155620.pdf|
|20509|20509|80278828||BL_20509_20509_80278828_20251010_161726.pdf|
|20509|20509|80280648||BL_20509_20509_80280648_20251021_163218.pdf|
|20509|20509|80281840||BL_20509_20509_80281840_20251028_163902.pdf|
|20509|20509|80282502||BL_20509_20509_80282502_20251103_151622.pdf|
|20511|20511|80268399||BL_20511_20511_80268399_20250708_170312.pdf|
|20511|20511|80271452||BL_20511_20511_80271452_20250731_162703.pdf|
|20511|20511|80274927||BL_20511_20511_80274927_20250915_171412.pdf|
|20511|20511|80277195||BL_20511_20511_80277195_20250929_165635.pdf|
|20511|20511|80280610||BL_20511_20511_80280610_20251017_123054.pdf|
|20511|20511|80280854||BL_20511_20511_80280854_20251022_155046.pdf|
|20511|20511|80281715||BL_20511_20511_80281715_20251028_163537.pdf|
|20520|20520|80190114||BL_20520_20520_80190114_20231114_155020.pdf|
