code_institut|ANNEE|MOIS|CODE_INDICATEUR|LIBELLE_INDICATEUR|VALEUR|MOYENNE|QUARTILE_SUP
53270|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|78|28,7|29
53270|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|0|150,13|174,75
53270|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|28,1238058846007|28,04|31,66
53270|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|17,4375332270069|20,49|25,46
53679|2018|5|400_CA_CABINE|CA CABINE|15184,95|9490,1|13734,12
53679|2018|5|200_PANIER_MOYEN|PANIER MOYEN|60,6993506493506|49,07|58,12
53679|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|5061,65|4557,83|4722,99
53679|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|3431,34|2354,7|3311,54
53679|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|42|27,65|34,25
53679|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|163|189,66|238,75
53679|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|18,7770788536217|26,78|31
53679|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|22,5969792458981|24,98|30,74
