code_client_facture|code_client_livre|enseigne|adresse1|adresse2|cp|ville|statut
PY22088|PY22088|INSTITUT MARY COHR|RESIDENCE LA SOURCE N 20|9 PLACE GEORGES CLEMENCEAU|85220|COEX|0
PY21957|PY21957|CARLINE|ZONE D ACTIVITE DE LAROISEAU|2 ALLEE DE LAROISEAU|56000|VANNES|0
PY21709|PY21709|INSTITUT UN COIN DE DOUCEUR|12 RUE LOUIS SENTEX||40500|ST SEVER|0
PY21092|PY21092|LE JARDIN DE LA FORME|6 RUE NEUVE||91190|GIF SUR YVETTE|0
PY25124|PY25124|OMANE INSTITUT DE BEAUTE|108 AVENUE DE LA PLAGE||29950|BENODET|0
PY20852|PY20852|INSTITUT DELIA BEAUTE|5 ET 7 RUE DE LA VERNEDE||63530|SAYAT|0
PY20702|PY20702|INSTITUT DE BEAUTE MARY COHR|19 AVENUE DU PORT D ALBRET||40140|SOUSTONS|0
PY22032|PY22032|INSTITUT SEE BEAUTE|6 RUE MORTAIN||50300|AVRANCHES|0
PY22107|PY22107|LE 45|45 RUE SADI CARNOT||54220|MALZEVILLE|0
PY23179|PY23179|AROMA SPA INSTITUT|ZA RUE DU GENERAL LECLERC||91440|BURES SUR YVETTE|0
PY21641|PY21641|COCKTAIL COIFFURE|14 RUE D EBERSHEIM||67600|SELESTAT|0
PY20419|PY20419|INSTITUT DE BEAUTE MELANIE|13 PLACE DU LOGIS||06580|PEGOMAS|0
PY22151|PY22151|INSTITUT SECRET DE BEAUTE|16 RUE DE SULLY||28400|NOGENT LE ROTROU|0
PY21089|PY21089|BEAUTE ISABELLE|18 BIS RUE CHARLES DE GAULLE||91530|ST CHERON|0
PY23063|PY23063|AMANDINE|2 BIS RUE DE LA REPUBLIQUE||94360|BRY SUR MARNE|0
PY20633|PY20633|LAETITIA ESTHETIQUE|25 COURS DE VERDUN||33470|GUJAN MESTRAS|0
PY25229|PY25230|BELLE A CROQUER|98 ROUTE DE PEGOMAS|JARDINS PERDIGON|06130|GRASSE|0
PY23147|PY23147|EDEN BEAUTE CENTRE DE SOINS|46 RUE DE L EGLISE||69480|POMMIERS|0
PY22433|PY22433||2 PLACE  DES MARTYRS DE LA RESISTANCE||59240|DUNKERQUE|0
PY25926|PY20010|MAZAL C|4 BOULEVARD ARISTIDE BRIAND||91600|SAVIGNY SUR ORGE|0
PY21173|PY21173|BODY TIMES|ROND POINT DE LA GARE||34540|BALARUC LES BAINS|0
PY26093|PY26093|PASYFIC|131 AVENUE ARISTIDE BRIAND||93320|LES PAVILLONS SOUS BOIS|0
PY20816|PY20816|INSTITUT AURELIE|C.CIAL INTERMARCHE|LES PORTES DE L'AVESNOIS|59530|LE QUESNOY|0
PY22977|PY22977|INSTITUT GUINOT|SQUARE FOCH|31 RUE DU QUESNE|59700|MARCQ EN BAROEUL|0
PY22228|PY20126|LAURIENCE INSTITUT|6 PLACE OLIVIER||31300|TOULOUSE|0
PY22621|PY22621|A CORPS PARFAIT|43 AVENUE JEAN MONESTIER||48400|FLORAC|0
PY20578|PY20578|SVF ATHENAIS|3 RUE NOTARIE||30140|ANDUZE|0
PY25846|PY25846|ATELIER DE LA BEAUTE ET DU BIEN ETRE|4 AVENUE DU MARECHAL LECLERC||85120|LA CHATAIGNERAIE|0
PY22346|PY22346|INSTITUT AMARYLIS|8 RUE BOITEUX||25110|BAUME LES DAMES|0
PY22270|PY22270|INSTITUT MARY COHR|59 BIS AVENUE DU GENERAL LECLERC||17000|LA ROCHELLE|0
PY22549|PY22549|OGEC NOTRE DAME DES 3 RIVIERES|AVENUE DOCTEUR DANIEL BRETHOUS|2 AVENUE DU PDT J FITZGERALD KENNEDY|40280|ST PIERRE DU MONT|0
PY23594|PY23594|INSTITUT DE BEAUTE EVASION|ROUTE DEPARTEMENTALE||07260|JOYEUSE|0
PY21409|PY21409|UN INSTANT POUR SOI|1099 ROUTE DU CREUX||01750|REPLONGES|0
PY21042|PY21042|LA BEAUTE PAR CATH|1 AVENUE DE LA REPUBLIQUE||78550|HOUDAN|0
PY21843|PY21843|INSTITUT DE BEAUTE|13 RUE DE L EGLISE||73210|AIME|0
PY20945|PY20945|INSTITUT DE BEAUTE MURIEL GEAY|15 PLACE GEORGES MOREY||71500|LOUHANS|0
PY21455|PY21455|INSTITUT MA OHA|5 A PLACE DE LA REPUBLIQUE||68110|ILLZACH|0
PY25895|PY25895|LAETY BEAUTY|PROMENADE LA RAMBLA/ IMMEUBLE LE NIL||83270|SAINT CYR SUR MER|0
PY21354|PY21354|EVASION BEAUTE|4 RUE ROGER SALENGRO||51350|CORMONTREUIL|0
PY21011|PY21011|INSTITUT BEAUTE VALERIE|10 RUE BEAUVOISINE||76000|ROUEN|0
PY22889|PY22889|DS BEAUTE|13 RUE DE JUILLET||24290|MONTIGNAC|0
PY21432|PY21432|EVEIL DES SENS|319 AVENUE DE LA FOLATIERE||38480|LE PONT DE BEAUVOISIN|0
